,carbs,category,description,fat,fiber,kcal,monounsat.,polyunsat.,price,price_per_kg,protein,qty,salt,saturated,sugars,€/g carb,€/g fat,€/g protein,€/kcal
5545225,11.5,"Latticini, salumi e formaggi","Esselunga Equilibrio, bevanda vegetale a base di riso 1 l",1.0,,55,,,1.69,1.69,0.1,1 l,0.1,0.2,7.5,0.014695652173913042,0.16899999999999998,1.6899999999999997,0.0030727272727272725
5750095,7.6,"Latticini, salumi e formaggi","Esselunga Equilibrio, bevanda vegetale avena 1 l",1.1,,44,,,1.99,1.39,0.7,1 l,0.1,0.2,4.4,0.018289473684210526,0.12636363636363634,0.19857142857142857,0.0031590909090909087
5634040,2.6,"Latticini, salumi e formaggi","Esselunga Equilibrio, bevanda vegetale soia 1 l",2.0,0.6,44,,,1.65,1.65,3.5,1 l,0.11,0.3,2.4,0.06346153846153846,0.08249999999999999,0.04714285714285714,0.0037499999999999994
5751491,0.9,"Latticini, salumi e formaggi","Esselunga Equilibrio, bevanda vegetale soia senza zuccheri aggiunti 1 l",2.3,0.6,41,,,1.75,1.75,3.9,1 l,0.03,0.3,0.8,0.19444444444444442,0.07608695652173914,0.04487179487179487,0.004268292682926829
5750096,3.0,"Latticini, salumi e formaggi","Esselunga Equilibrio, bevanda vegetale mandorla 1 l",1.1,0.4,24,,,2.39,2.39,0.3,1 l,0.12,0.1,3.0,0.07966666666666668,0.21727272727272728,0.7966666666666667,0.009958333333333335
5758369,14.0,Alimenti vegetali,"Esselunga Equilibrio, burger vegetali a base di soia e spinaci conf. 2x100 g",11.0,4.8,209,,,2.49,12.45,11.0,200 g,1.7,1.2,4.1,0.08892857142857143,0.11318181818181818,0.11318181818181818,0.005956937799043062
5639298,5.7,Gastronomia e piatti pronti,"Esselunga, Hummus di ceci 180 g",20.4,9.3,253,,,2.99,16.62,7.1,180 g,1.48,3.36,0.2,0.29157894736842105,0.08147058823529413,0.23408450704225356,0.006569169960474309
5758367,17.0,Alimenti vegetali,"Esselunga Equilibrio, cotolette vegetali conf. 2x100 g",12.0,5.0,242,,,2.49,12.45,14.0,200 g,1.2,1.5,1.4,0.07323529411764705,0.10375,0.08892857142857143,0.005144628099173553
5758368,10.0,Alimenti vegetali,"Esselunga Equilibrio, burger vegetali a base di soia conf. 2x100 g",8.0,7.0,190,,,2.49,12.45,16.0,200 g,1.1,1.0,4.3,0.12449999999999999,0.15562499999999999,0.07781249999999999,0.006552631578947368
5385482,2.8,"Latticini, salumi e formaggi","Alpro, Soya Original bevanda a base di soia 500 ml",1.8,0.4,40,,,1.53,3.06,3.0,500 ml,0.08,0.3,2.8,0.10928571428571429,0.16999999999999998,0.102,0.00765
5399647,2.8,"Latticini, salumi e formaggi","Alpro, Soya Original bevanda a base di soia 1 l",1.8,0.4,40,,,2.29,2.29,3.0,1 l,0.08,0.3,2.8,0.0817857142857143,0.12722222222222224,0.07633333333333334,0.005725
